agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-3009,47.29956285243445,0.008728422210148074,48.02,69,0.69,0.007106502467934979,7.720000000000001,30,0.3
qfa-0-3010,76.48792850587071,0.011244849341629826,42.39999999999999,65,0.65,0.00945275163126744,4.71,31,0.31
qfa-0-3011,66.01464420208728,0.009314131815754339,47.85000000000001,71,0.71,0.007137963024470938,13.790000000000001,38,0.38
qfa-0-3013,70.46906482836175,0.01093381583964193,33.510000000000005,59,0.59,0.011356399838964743,22.62,45,0.45
qfa-0-3014,41.42075406104224,0.009987361777943682,41.41,60,0.6,0.009690560797790152,13.34,32,0.32
qfa-0-3015,22.333360988866435,0.010872543214876778,36.31,64,0.64,0.011421145721225915,16.109999999999996,35,0.35
qfa-0-3016,50.84396469824283,0.009911806195684618,49.06,66,0.66,0.008991245727661381,12.09,36,0.36
qfa-0-3017,38.02065186860359,0.010887814469714482,36.69,64,0.64,0.011037244046091967,14.59,33,0.33
qfa-0-3018,53.57077510793079,0.011009030022294601,44.15,64,0.64,0.009641026166511123,10.6,31,0.31
qfa-0-3019,53.39132161524803,0.009934787262916576,47.35,70,0.7,0.010692897508757857,13.34,32,0.32
qfa-0-3020,52.30259906527493,0.010252451675333715,45.91,68,0.68,0.008589820112081741,20.29,38,0.38
qfa-0-3021,61.99926944840574,0.010296387431203499,39.849999999999994,67,0.67,0.00836201213928128,19.56,44,0.44
qfa-0-3022,22.058580014534513,0.010179883751968117,40.769999999999996,64,0.64,0.009910344624295535,18.48,39,0.39
qfa-0-3023,17.440275705209675,0.008806419136931972,49.55,70,0.7,0.008726711948869854,21.95,44,0.44
qfa-0-3024,71.2609541858896,0.007444080221683686,37.14,55,0.55,0.007313513764324972,6.630000000000001,35,0.35
qfa-0-3025,67.63005002716054,0.010963444022920842,45.04,60,0.6,0.009615739832028576,13.589999999999998,33,0.33
qfa-0-3026,38.96863906721047,0.011400767179189704,50.92,66,0.66,0.010527154542580734,8.0,28,0.28
qfa-0-3027,25.60415292978412,0.011047646141642517,47.010000000000005,61,0.61,0.008631767171904354,1.5000000000000007,31,0.31
qfa-0-3028,60.454259723342645,0.010456791622664332,46.57000000000001,65,0.65,0.009446131237099666,11.28,39,0.39
qfa-0-3029,49.84512569231871,0.009923775954442982,36.040000000000006,56,0.56,0.00914569386379939,9.849999999999998,37,0.37
qfa-0-3031,51.17845397895141,0.00953463752291469,40.4,63,0.63,0.007629733103709575,2.04,29,0.29
qfa-0-3032,43.0103722981854,0.0108946271583179,45.46,64,0.64,0.010546864169699847,22.549999999999997,38,0.38
qfa-0-3033,57.967871877544226,0.010128161992549026,37.78000000000001,60,0.6,0.009363666723302725,16.18,37,0.37
qfa-0-3034,43.491987913015265,0.010485236407242785,44.96,64,0.64,0.009894287594500372,18.449999999999996,41,0.41
qfa-0-3035,50.6674407246627,0.01102644467000362,38.42999999999999,50,0.5,0.010317790556902176,20.479999999999997,32,0.32
qfa-0-3036,25.195900177431238,0.009956499889234376,42.1,63,0.63,0.009571989275119031,11.73,42,0.42
qfa-0-3037,23.931088109889597,0.011695816546012752,44.47,59,0.59,0.011099184795204258,27.57,37,0.37
qfa-0-3038,49.87862307834101,0.011150097507237923,44.83,71,0.71,0.009340407832247325,11.33,27,0.27
qfa-0-3039,25.858337495247444,0.01216040573482265,40.01,56,0.56,0.010904777877923882,11.94,35,0.35
qfa-0-3040,39.652347028947844,0.010747614702986847,45.85,67,0.67,0.010075967430632006,7.090000000000001,28,0.28
qfa-0-3041,41.99416888544783,0.009909909878302424,43.3,67,0.67,0.008334635215562018,0.07999999999999971,27,0.27
qfa-0-3042,29.670802359848384,0.010235843425961049,41.459999999999994,55,0.55,0.008405499682771971,14.220000000000002,32,0.32
qfa-0-3043,42.992411876199625,0.00999602833138872,48.290000000000006,69,0.69,0.010037756925223396,21.4,40,0.4
qfa-0-3044,17.696035596750765,0.011281166815849824,34.589999999999996,60,0.6,0.010400574651880963,10.33,29,0.29
qfa-0-3045,20.777697405119405,0.011743572519004545,40.339999999999996,66,0.66,0.010484157469080374,21.39,35,0.35
qfa-0-3046,49.503339838649936,0.009968780522168432,50.58999999999999,64,0.64,0.009514333037726936,26.240000000000002,40,0.4
qfa-0-3047,31.0949191585517,0.009932723556246133,43.45,68,0.68,0.009623415165044164,17.560000000000002,36,0.36
qfa-0-3048,28.548415898669756,0.010466636826139023,48.10000000000001,66,0.66,0.010865688385734085,13.849999999999998,36,0.36
qfa-0-3050,40.01832245615102,0.010097623052814688,41.64,63,0.63,0.008901908304962496,7.0100000000000025,25,0.25
qfa-0-3051,42.206604378602854,0.010859898881855044,48.46,62,0.62,0.009505712324717653,3.35,33,0.33
qfa-0-3052,34.4333605687576,0.011205091573703425,49.72,72,0.72,0.009822180383856011,10.89,28,0.28
qfa-0-3053,40.37881258157904,0.009387418921571302,43.45000000000001,62,0.62,0.009268957169894372,21.59,44,0.44
qfa-0-3054,30.603973531555358,0.01018451528731013,42.190000000000005,65,0.65,0.008966135495817672,18.720000000000002,34,0.34
qfa-0-3055,54.95532114457155,0.008628865345985028,34.03,60,0.6,0.008502216862077425,14.660000000000002,36,0.36
qfa-0-3056,48.34839613486924,0.010372134081123804,49.599999999999994,67,0.67,0.010068995440401896,23.05,44,0.44
qfa-0-3057,46.909632627907186,0.011118781709399733,44.489999999999995,69,0.69,0.010159228305894219,5.820000000000001,31,0.31
qfa-0-3058,21.990967522377804,0.010728144113551075,42.61,67,0.67,0.010506580915191677,7.3100000000000005,26,0.26
qfa-0-3059,51.882974737109144,0.010627310128484498,46.39999999999999,73,0.73,0.00869929760555401,10.63,31,0.31
qfa-0-3060,46.00076168705324,0.010983158259624249,41.76,62,0.62,0.010733304964102389,23.4,32,0.32
qfa-0-3061,47.63649310698607,0.01111242205990969,41.79,61,0.61,0.010472138224258885,14.219999999999999,34,0.34
qfa-0-3062,55.066726533470636,0.008394634699516915,45.05,64,0.64,0.008419138077170851,15.320000000000002,38,0.38
qfa-0-3063,50.04323540403913,0.011036964448914912,46.3,67,0.67,0.010493030331285078,8.260000000000002,31,0.31
qfa-0-3064,46.89230935215051,0.010352889030537956,49.31999999999999,68,0.68,0.008897422479271989,12.16,41,0.41
qfa-0-3065,44.21207393870887,0.011363702404475547,38.64,61,0.61,0.010395884598174397,12.389999999999999,42,0.42
qfa-0-3066,33.03281880447137,0.008925243270699313,42.14000000000001,61,0.61,0.008586212007532417,2.3000000000000003,31,0.31
qfa-0-3068,43.435131349001324,0.008618004585997813,53.779999999999994,67,0.67,0.008845419837036027,13.459999999999997,36,0.36
qfa-0-3069,40.6891903580832,0.010790693679133953,35.61,63,0.63,0.010779342474200952,8.39,31,0.31
qfa-0-3070,50.9964069690034,0.010816770988661758,51.58,65,0.65,0.008920429519459197,9.969999999999999,39,0.39
qfa-0-3071,50.486064271715065,0.011542293796808106,51.71,70,0.7,0.009950533249740497,17.31,35,0.35
qfa-0-3072,42.3993516851074,0.008902826959715933,42.64,60,0.6,0.007184988113559722,13.680000000000001,36,0.36
qfa-0-3073,43.304523103498965,0.010079950701181369,43.74999999999999,72,0.72,0.008239755112585446,10.24,35,0.35
qfa-0-3074,20.893689816769562,0.00860056272442768,44.15,68,0.68,0.00860185067116526,10.96,36,0.36
qfa-0-3075,45.158266310652856,0.01023332935002343,49.06,70,0.7,0.008772974855564025,9.370000000000001,30,0.3
qfa-0-3076,37.177112674803205,0.011351658439966017,38.269999999999996,56,0.56,0.009420675626688742,12.600000000000001,27,0.27
qfa-0-3077,44.875937651236256,0.006753146187336039,31.26,51,0.51,0.0095978494684506,10.459999999999999,34,0.34
qfa-0-3078,50.48428785091398,0.00792272409247907,38.94,61,0.61,0.007535696865011694,8.07,36,0.36
qfa-0-3079,49.824461268518554,0.009365035713939422,40.760000000000005,65,0.65,0.009180666161852164,16.410000000000004,31,0.31
qfa-0-3080,55.16129131199871,0.00877684034579526,45.91,64,0.64,0.005759359577913655,8.52,35,0.35
qfa-0-3081,50.51493529867158,0.009003065993881372,48.190000000000005,67,0.67,0.008457451956123598,19.72,37,0.37
qfa-0-3082,40.41426166241091,0.010639139546679163,42.92999999999999,60,0.6,0.00927132423163851,6.470000000000001,29,0.29
qfa-0-3083,54.6656870981346,0.010107905875391617,43.03,64,0.64,0.00935031805246684,12.000000000000002,34,0.34
qfa-0-3084,52.836093287737825,0.008809877894615091,47.79,65,0.65,0.0065190002820443155,6.890000000000001,29,0.29
qfa-0-3086,65.0982633736412,0.01113674733647137,40.0,62,0.62,0.009010869380565896,0.02999999999999936,35,0.35
qfa-0-3087,27.564305925354002,0.010604095671250984,47.7,75,0.75,0.009700501114314815,11.679999999999998,34,0.34
qfa-0-3088,42.52060302360127,0.009484039229953457,41.31,57,0.57,0.009252632276807787,15.590000000000003,37,0.37
qfa-0-3089,35.44825709438556,0.010641279318566052,41.94,62,0.62,0.010805010513061184,21.509999999999998,43,0.43
qfa-0-3090,35.82436434702135,0.009992495963313027,41.85,65,0.65,0.00847037332831912,15.089999999999998,29,0.29
qfa-0-3091,42.11056972976111,0.011357702354307107,49.59,72,0.72,0.01012609262472732,10.709999999999999,34,0.34
qfa-0-3092,46.25169348213305,0.010070408941618529,43.559999999999995,61,0.61,0.009299166532193277,20.439999999999998,42,0.42
qfa-0-3093,29.027336411220055,0.008897404845278237,44.79,63,0.63,0.008985932935270797,11.61,27,0.27
qfa-0-3094,37.980999255938535,0.009205327903838755,39.57000000000001,53,0.53,0.009269290440146625,18.68,31,0.31
qfa-0-3095,40.89275873475232,0.010543804573941835,42.44,64,0.64,0.01050958167809803,17.18,38,0.38
qfa-0-3096,42.56373777233379,0.011883703277968229,43.61999999999999,65,0.65,0.010799332176352325,11.720000000000002,41,0.41
qfa-0-3097,68.70690043926444,0.009528773748669648,37.120000000000005,57,0.57,0.008931109805675103,3.1099999999999994,25,0.25
qfa-0-3098,69.57600070113904,0.007285139860998933,44.85,67,0.67,0.008281024928144877,13.250000000000004,36,0.36
