agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-1080,47.237243065173175,0.03251173593103217,46.19,65,0.65,0.028275070254615776,6.9,34,0.34
qfa-0-1081,48.155258489271525,0.025799039341152324,42.74,63,0.63,0.025654710448249785,17.740000000000002,37,0.37
qfa-0-1082,22.900914733403294,0.03097243485458511,36.39,68,0.68,0.029821837426878613,14.719999999999995,41,0.41
qfa-0-1083,38.45151830382708,0.029619026973944234,41.6,63,0.63,0.03032342105253833,20.640000000000004,36,0.36
qfa-0-1084,14.717423159457022,0.028342354751689197,46.260000000000005,59,0.59,0.0260599129894702,10.3,31,0.31
qfa-0-1085,14.240748229966888,0.03061701239167695,48.69000000000001,64,0.64,0.027114563376649574,15.780000000000001,41,0.41
qfa-0-1086,33.39937113324945,0.03329517239223449,40.45,61,0.61,0.030533498828821996,8.01,31,0.31
qfa-0-1014,41.139550631093734,0.0323195676957786,48.62,61,0.61,0.03091271980668602,11.28,25,0.25
qfa-0-1032,36.53166942815519,0.03026766567176888,43.459999999999994,64,0.64,0.03082883959179756,22.79,41,0.41
qfa-0-1050,47.10793012703972,0.03153868327216637,34.16,66,0.66,0.031517724212494214,17.4,39,0.39
qfa-0-1069,30.338094616673324,0.034360024204796974,39.13,61,0.61,0.03135649680741792,19.079999999999995,36,0.36
qfa-0-1087,48.158405539534414,0.02979106817968496,42.269999999999996,61,0.61,0.02564034774387709,9.02,30,0.3
qfa-0-1104,47.72190547535959,0.030933221232420743,40.15,63,0.63,0.028562836912579666,12.430000000000001,35,0.35
qfa-0-1122,51.72647103875017,0.02396896493466561,39.38,54,0.54,0.02292696017907212,14.73,37,0.37
qfa-0-1140,46.52882925542237,0.027948190006641505,32.67999999999999,54,0.54,0.024983303360806765,3.7099999999999995,26,0.26
qfa-0-1159,28.596026732824175,0.02937581183402736,47.95,67,0.67,0.02754778915650951,11.409999999999998,26,0.26
qfa-0-1177,53.44575091683697,0.027754709556246183,46.84000000000001,65,0.65,0.02577555613390358,8.76,36,0.36
qfa-0-1195,30.658522452272777,0.026994801590109484,33.36,61,0.61,0.02613915942954087,6.539999999999999,33,0.33
qfa-0-1212,28.365316658077333,0.024677148190800385,33.190000000000005,58,0.58,0.02332466796955981,14.790000000000001,43,0.43
qfa-0-1230,38.43734077633282,0.02175349807424321,40.72,68,0.68,0.018504085799499158,15.6,37,0.37
qfa-0-1249,40.57586591734907,0.025812966713830682,44.970000000000006,71,0.71,0.02131936078815888,8.54,29,0.29
qfa-0-1267,36.28313896380234,0.024141373503079783,43.69,65,0.65,0.020352338264957918,11.84,36,0.36
qfa-0-1285,55.95584518222332,0.026152542747008893,31.869999999999997,66,0.66,0.02476454634974502,2.4899999999999998,28,0.28
qfa-0-1302,56.09538446254922,0.022213289555153094,41.28,61,0.61,0.023407104673314943,10.31,32,0.32
qfa-0-1088,43.9125231550301,0.029170878815235418,50.46,69,0.69,0.024115427694171916,11.620000000000001,38,0.38
qfa-0-1089,20.78763407759325,0.02904011864582009,41.980000000000004,58,0.58,0.030550880522612754,12.91,37,0.37
qfa-0-109,31.431001890744415,0.3385894784379001,47.339999999999996,69,0.69,0.31583927228194747,18.090000000000003,38,0.38
qfa-0-1090,38.74180281409685,0.028805861181739417,46.61999999999999,67,0.67,0.0241497041810839,-6.0200000000000005,22,0.22
qfa-0-1091,45.1151480297416,0.026471373283425248,41.92,67,0.67,0.024678535640061672,13.27,38,0.38
qfa-0-1092,81.27438347553385,0.025787606809487697,49.10000000000001,68,0.68,0.021752830201338544,2.9599999999999986,39,0.39
qfa-0-1093,68.73529936773679,0.029023960570535096,51.07,72,0.72,0.02652275181643246,10.670000000000002,35,0.35
qfa-0-1094,53.57365595496265,0.027552727831927977,44.01,72,0.72,0.024707020249107852,5.9399999999999995,28,0.28
qfa-0-1095,30.179365786893314,0.027358028745772152,38.989999999999995,65,0.65,0.02543592637598292,9.919999999999998,33,0.33
qfa-0-1096,33.731900576333885,0.030286084130826136,45.01,63,0.63,0.02989981810193143,13.460000000000003,33,0.33
qfa-0-1097,39.921282644944824,0.029571938053066182,40.35,62,0.62,0.029476597919982465,22.889999999999997,40,0.4
qfa-0-1098,39.61990398455911,0.03027786796649573,40.93,67,0.67,0.028163800824076747,11.41,35,0.35
qfa-0-1099,29.807155452776357,0.031906916605358146,43.87,65,0.65,0.02814182959152093,14.839999999999998,33,0.33
qfa-0-11,49.304486059145155,2.7486390245059664,43.87,71,0.71,2.4569696877753437,13.25,42,0.42
qfa-0-110,49.84493319715741,0.25482904039654575,45.0,63,0.63,0.22791405715675284,13.669999999999998,29,0.29
qfa-0-1100,52.47390689894111,0.02995268309083693,38.87,59,0.59,0.026509618446270623,12.419999999999998,33,0.33
qfa-0-1101,31.697948057134305,0.028224605084020145,46.589999999999996,69,0.69,0.028692325653404828,14.23,38,0.38
qfa-0-1102,17.597830191396096,0.030846970800231334,43.17,64,0.64,0.030202053820326157,20.6,35,0.35
qfa-0-1103,44.0098945058378,0.028603703904522666,45.62,70,0.7,0.02854862190473153,15.789999999999997,38,0.38
qfa-0-1105,49.85016055177478,0.029685604624864047,40.730000000000004,59,0.59,0.02829199877714116,2.9400000000000004,29,0.29
qfa-0-1106,32.115935468643556,0.028579604976971956,36.870000000000005,60,0.6,0.027482707028296145,21.11,38,0.38
qfa-0-1107,44.54596209319767,0.02556278634902519,44.93999999999999,58,0.58,0.023175937741028545,13.660000000000002,38,0.38
qfa-0-1108,35.16671045973875,0.03219123803867956,42.2,69,0.69,0.02399602468046991,10.069999999999999,34,0.34
qfa-0-1109,36.63287708502091,0.027878340409610947,44.08,60,0.6,0.02713030884424329,8.779999999999998,31,0.31
qfa-0-111,42.07584386318898,0.2600212522676574,47.6,70,0.7,0.2688450280906029,14.450000000000003,38,0.38
qfa-0-1110,74.6823232527515,0.019534270104789767,34.980000000000004,52,0.52,0.019996601415063757,23.77,44,0.44
