agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-2-15,34.244717738283235, 14.581426344417602, 10.523299999999999, 1610, 0.644, 14.573760501012268, 3.6834, 925, 0.37
qfa-2-16,45.04684901620044, 14.665804402923833, 10.993899999999995, 1648, 0.6592, 14.65513042127198, 3.4328000000000007, 895, 0.358
qfa-2-17,50.397399821268024, 14.734440964694906, 10.539600000000005, 1596, 0.6384, 14.725005864319535, 2.8631000000000006, 802, 0.3208
qfa-2-18,43.91316247352771, 14.8112919620192, 10.770400000000004, 1626, 0.6504, 14.798319278197953, 3.0978000000000008, 827, 0.3308
qfa-2-19,30.60216882405173, 14.887911803465695, 10.732500000000005, 1601, 0.6404, 14.878326123652739, 2.996600000000001, 847, 0.3388
qfa-2-2,31.837804186968235, 13.006978633769416, 10.955499999999999, 1640, 0.656, 12.989957441839827, 3.1474, 863, 0.3452
qfa-2-20,32.8526258084938, 14.95667019625175, 10.390999999999995, 1592, 0.6368, 14.950073572440717, 3.302499999999999, 851, 0.3404
qfa-2-21,58.028131542450254, 15.012098366958726, 10.963199999999999, 1612, 0.6448, 15.004940087827038, 3.5259000000000005, 900, 0.36
qfa-2-22,52.111014283072755, 15.084920149247761, 10.782, 1637, 0.6548, 15.077365334379294, 3.4133999999999993, 895, 0.358
qfa-2-23,31.771446768959468, 15.151382265067888, 10.750500000000004, 1593, 0.6372, 15.138131891516966, 3.2977, 895, 0.358
qfa-2-24,39.198168872596895, 15.218809289607002, 10.8001, 1609, 0.6436, 15.209640487973719, 3.195600000000001, 901, 0.3604
qfa-2-25,31.993053151454838, 15.27490447473646, 10.691200000000002, 1614, 0.6456, 15.265483343211013, 3.608399999999999, 909, 0.3636
qfa-2-26,30.820457260592946, 15.332753844286735, 11.0556, 1632, 0.6528, 15.324158514686685, 3.1333999999999986, 898, 0.3592
qfa-2-27,55.42326802995953, 15.388581096921344, 11.146099999999995, 1619, 0.6476, 15.38326469319514, 3.8145999999999987, 882, 0.3528
qfa-2-28,32.93308699959248, 15.442470113739164, 10.621999999999993, 1602, 0.6408, 15.435023427829865, 3.2182, 885, 0.354
qfa-2-3,53.48517292536853, 13.165854048395579, 10.6846, 1611, 0.6444, 13.154587964148652, 3.3662000000000005, 878, 0.3512
qfa-2-4,42.01455374281829, 13.33238876813514, 11.464399999999998, 1639, 0.6556, 13.317737847554126, 3.3590999999999998, 876, 0.3504
qfa-2-5,32.12094977725236, 13.478886536203417, 11.259499999999997, 1645, 0.658, 13.459533085990389, 3.1461, 847, 0.3388
qfa-2-6,31.96694481645228, 13.613269419740556, 10.763800000000009, 1605, 0.642, 13.603836047394296, 3.7956999999999987, 882, 0.3528
qfa-2-7,36.368817741673354, 13.737534984450628, 10.854200000000006, 1620, 0.648, 13.727959076730354, 3.6719999999999997, 917, 0.3668
qfa-2-8,34.18754219561748, 13.854441723698514, 10.436700000000004, 1619, 0.6476, 13.845277524416737, 3.1715000000000004, 849, 0.3396
qfa-2-9,36.885753081574144, 13.968303262292386, 11.074300000000003, 1641, 0.6564, 13.957564486855283, 3.5575000000000006, 903, 0.3612
qfa-1-0,51.56014474424653, 12.916208785486349, 10.487400000000006, 1577, 0.6308, 12.90541369636825, 3.3216, 872, 0.3488
qfa-1-1,41.76300660789459, 13.060139374678753, 10.614300000000004, 1604, 0.6416, 13.051243392646095, 3.3188, 863, 0.3452
qfa-1-10,36.0490893624681, 14.166345673308157, 11.093899999999996, 1629, 0.6516, 14.15613481354964, 3.4908999999999986, 884, 0.3536
qfa-1-11,31.69965007603206, 14.261259392397369, 10.964699999999999, 1637, 0.6548, 14.248488164905059, 2.8549999999999995, 861, 0.3444
qfa-1-12,32.561636786429005, 14.349267254699225, 10.7781, 1611, 0.6444, 14.335203596992221, 3.3956, 871, 0.3484
qfa-1-13,42.74033864771552, 14.424879275030364, 10.769300000000001, 1616, 0.6464, 14.41751871423719, 3.339999999999999, 865, 0.346
qfa-1-14,49.20234747682098, 14.506769910023293, 10.723700000000006, 1596, 0.6384, 14.49520329774926, 3.4472000000000005, 880, 0.352
qfa-1-15,29.882815456085133, 14.576942216803538, 10.686300000000001, 1586, 0.6344, 14.567459759944093, 3.363, 839, 0.3356
qfa-1-16,40.20129829566135, 14.665562684030693, 11.042599999999995, 1632, 0.6528, 14.65592979060743, 3.0838000000000005, 876, 0.3504
qfa-1-17,44.31658042344042, 14.73401653227335, 10.749200000000004, 1606, 0.6424, 14.727189260901865, 3.1154000000000006, 876, 0.3504
qfa-1-18,35.44191255658119, 14.811406095446458, 10.929800000000006, 1608, 0.6432, 14.801396369696194, 3.7988000000000004, 906, 0.3624
qfa-1-19,60.17558483789877, 14.88333272641628, 10.727599999999997, 1614, 0.6456, 14.87561355642096, 3.1471999999999993, 854, 0.3416
